job title,company name,location,skills
Senior Python Developer (Django - PHP),Confidential -,"Giza, Egypt ",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Django · PHP · REST · Information Technology (IT) · Software Development · English
Python Backend Developer,Geek Labs -,"Maadi, Cairo, Egypt ",Full TimeOn-siteEntry Level · 2+ Yrs of Exp · IT/Software Development · Other · Computer Science · MEAN Stack · Backend developer · fullstack developer · Python · Web Development · WordPress
Python/Django Backend Developer,mas trading  -,"Maadi, Cairo, Egypt ",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Information Technology (IT) · backend · Programming · Python
Python Developer,Confidential -,"Cairo, Egypt ",Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Information Technology (IT) · Python
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",InternshipRemoteStudent · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming
Python Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML5 · JavaScript · Software Development · Python · Engineering
Python Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Python · Remote · Software Development
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python
Remote Senior Python Engineer,Turing -,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Engineering · Python · Software Development · Computer Engineering · Flask
Remote Python Data Scientist,Turing -,"Cairo, Egypt ",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · python · computer science · computer engineering · sql · engineering · data science
SASE Engineer with Python,CodiLime -,"Cairo, Egypt ",Freelance / ProjectExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Software Engineering · Docker · Django · Software Development
Python Django Developer,Element8 -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Django · Software Development · javaScript · Software Engineering
Junior Software Developer,Confidential -,"Mohandessin, Giza, Egypt ",Full TimeOn-siteEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Software Engineering · SQL · OOP · XML · Web Development · JavaScript
Ai Research Team Lead,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeHybridExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Research · Computer Science · Intelligence · Python · TensorFlow · PyTorch
Senior odoo developer,Perfect Tech -,"Nasr City, Cairo, Egypt ",Full TimeHybridSenior Management · 3 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software · Software Development · Software Engineering · Python
